Index_column,id,cellid,start,end,phase,task,completion,HasNext,HasNextTask,Group_Number,GroupKey,Task_Group_Number,task_group_completion,MainColor,MaxGroupDate,MaxTaskGroupDate,MinGroupDate,MinTaskGroupDate,Media_Color
0,Prod 4Media 7,Prod 4-Media 7-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 7,238938,true,true,1,14,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
1,Prod 4Media 7,Prod 4-Media 7-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 7,237019,true,true,1,14,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
2,Prod 4Media 7,Prod 4-Media 7-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 7,209092,true,true,1,15,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
3,Prod 4Media 7,Prod 4-Media 7-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 7,180865,true,true,1,16,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
4,Prod 4Media 7,Prod 4-Media 7-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 7,164228,true,true,1,17,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
5,Prod 4Media 7,Prod 4-Media 7-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 7,172307,true,true,1,18,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
6,Prod 4Media 7,Prod 4-Media 7-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 7,171599,true,true,1,19,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
7,Prod 4Media 7,Prod 4-Media 7-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 7,170378,true,true,1,20,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
8,Prod 4Media 7,Prod 4-Media 7-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 7,159946,true,true,1,20,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
9,Prod 4Media 7,Prod 4-Media 7-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 7,196905,true,true,1,21,1,4096638,#4298b5,2024-10-13 00:00:00,2024-02-11 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#82C17A
10,Prod 4Media 16,Prod 4-Media 16-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 16,24991,true,true,1,14,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
11,Prod 4Media 16,Prod 4-Media 16-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 16,24991,true,true,1,14,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
12,Prod 4Media 16,Prod 4-Media 16-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 16,24991,true,true,1,15,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
13,Prod 4Media 16,Prod 4-Media 16-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 16,24991,true,true,1,16,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
14,Prod 4Media 16,Prod 4-Media 16-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 16,24972,true,true,1,17,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
15,Prod 4Media 16,Prod 4-Media 16-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 16,24972,true,true,1,18,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
16,Prod 4Media 16,Prod 4-Media 16-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 16,24972,true,true,1,19,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
17,Prod 4Media 16,Prod 4-Media 16-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 16,24972,true,true,1,20,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
18,Prod 4Media 16,Prod 4-Media 16-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 16,24972,true,true,1,20,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
19,Prod 4Media 16,Prod 4-Media 16-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 16,24972,true,true,1,21,1,421421,#4298b5,2024-10-13 00:00:00,2024-03-03 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#00738C
20,Prod 4Media 8,Prod 4-Media 8-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 8,14886,true,true,1,14,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
21,Prod 4Media 8,Prod 4-Media 8-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 8,14886,true,true,1,14,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
22,Prod 4Media 8,Prod 4-Media 8-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 8,14886,true,true,1,15,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
23,Prod 4Media 8,Prod 4-Media 8-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 8,14886,true,true,1,16,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
24,Prod 4Media 8,Prod 4-Media 8-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 8,14857,true,true,1,17,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
25,Prod 4Media 8,Prod 4-Media 8-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 8,14857,true,true,1,18,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
26,Prod 4Media 8,Prod 4-Media 8-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 8,14857,true,true,1,19,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
27,Prod 4Media 8,Prod 4-Media 8-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 8,14857,true,true,1,20,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
28,Prod 4Media 8,Prod 4-Media 8-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 8,14857,true,true,1,20,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
29,Prod 4Media 8,Prod 4-Media 8-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 8,14857,true,true,1,21,1,227783,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2023-12-03 00:00:00,#00964D
30,Prod 4Media 10,Prod 4-Media 10-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 10,21247,true,true,1,18,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
31,Prod 4Media 10,Prod 4-Media 10-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 10,21247,true,true,1,19,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
32,Prod 4Media 10,Prod 4-Media 10-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 10,21247,true,true,1,20,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
33,Prod 4Media 10,Prod 4-Media 10-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 10,21247,true,true,1,21,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
34,Prod 4Media 10,Prod 4-Media 10-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 10,21247,true,true,1,22,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
35,Prod 4Media 10,Prod 4-Media 10-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 10,21247,true,true,1,23,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
36,Prod 4Media 10,Prod 4-Media 10-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 4,Media 10,21247,true,true,1,24,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
37,Prod 4Media 10,Prod 4-Media 10-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 4,Media 10,21247,true,false,1,25,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
38,Prod 4Media 3,Prod 4-Media 3-47-2023,2023-11-19 00:00:00,2023-11-25 00:00:00,Prod 4,Media 3,35000,true,true,1,12,1,70000,#4298b5,2024-10-13 00:00:00,2023-12-03 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#CC00CC
39,Prod 4Media 3,Prod 4-Media 3-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 4,Media 3,35000,true,false,1,13,1,70000,#4298b5,2024-10-13 00:00:00,2023-12-03 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#CC00CC
40,Prod 4Media 2,Prod 4-Media 2-47-2023,2023-11-19 00:00:00,2023-11-25 00:00:00,Prod 4,Media 2,30000,true,true,1,12,1,60000,#4298b5,2024-10-13 00:00:00,2023-12-03 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#ec9be7
41,Prod 4Media 2,Prod 4-Media 2-48-2023,2023-11-26 00:00:00,2023-12-02 00:00:00,Prod 4,Media 2,30000,true,false,1,13,1,60000,#4298b5,2024-10-13 00:00:00,2023-12-03 00:00:00,2023-09-03 00:00:00,2023-11-19 00:00:00,#ec9be7
42,Prod 4Media 9,Prod 4-Media 9-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 9,40000,true,false,1,15,1,40000,#4298b5,2024-10-13 00:00:00,2023-12-17 00:00:00,2023-09-03 00:00:00,2023-12-10 00:00:00,#009FB2
43,Prod 4Media 10,Prod 4-Media 10-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 10,3750,true,true,1,14,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
44,Prod 4Media 10,Prod 4-Media 10-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 10,3750,true,true,1,15,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
